,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2011,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
111.0,Tanzania,TZA,2011TZA,5,46416.0,61.0,4.07,1.63,27.5,3.55,2063
139.0,Liberia,LBR,2011LBR,5,4181.2,59.6,0.00,0.50,0.0,3.55,1476
91.0,Rwanda,RWA,2011RWA,5,10576.9,63.3,4.10,0.65,31.8,3.55,1545
60.0,India,IND,2011IND,6,1257621.2,67.4,4.63,1.73,38.0,3.55,4374
109.0,Russia,RUS,2011RUS,7,143364.5,70.4,5.39,12.67,28.1,3.55,24972
75.0,Haiti,HTI,2011HTI,1,9954.3,61.6,4.84,1.17,34.9,3.55,3059
126.0,Malawi,MWI,2011MWI,5,15146.1,57.5,3.95,0.68,24.6,3.55,1381
92.0,Yemen,YEM,2011YEM,4,25475.6,67.4,3.75,1.39,31.5,3.55,0
117.0,United Arab Emirates,ARE,2011ARE,4,8575.2,78.5,7.12,28.97,26.9,3.55,57815
136.0,Togo,TGO,2011TGO,5,6748.7,57.9,2.94,1.74,16.3,3.55,1646
118.0,Hong Kong,HKG,2011HKG,8,7175.4,83.2,5.47,23.19,26.7,3.55,53472
114.0,Turkmenistan,TKM,2011TKM,7,5360.8,68.6,5.79,14.11,27.4,3.55,9379
107.0,Congo (Kinshasa),COD,2011COD,5,68654.3,57.1,4.52,0.73,28.4,3.55,870
115.0,Trinidad and Tobago,TTO,2011TTO,1,1420.0,73.3,6.52,21.50,27.0,3.55,27062
132.0,Luxembourg,LUX,2011LUX,3,518.2,80.8,7.10,41.20,21.7,3.55,112998
122.0,Sierra Leone,SLE,2011SLE,5,6612.4,54.6,4.50,0.92,25.3,3.55,1446
123.0,Kuwait,KWT,2011KWT,4,3143.8,78.5,6.38,28.00,24.8,3.55,61357
125.0,Mali,MLI,2011MLI,5,16039.7,56.8,4.67,3.42,24.6,3.55,2017
139.0,Namibia,NAM,2011NAM,5,2132.3,56.6,0.00,6.69,0.0,3.55,9431
124.0,Nigeria,NGA,2011NGA,5,165463.7,51.4,5.13,1.67,24.6,3.55,4976
121.0,Mongolia,MNG,2011MNG,8,2743.9,67.4,5.03,11.20,25.8,3.55,8686
120.0,Zimbabwe,ZWE,2011ZWE,5,13025.8,53.3,4.85,0.87,26.3,3.55,2033
37.0,Lebanon,LBN,2011LBN,4,5045.1,78.4,5.19,6.63,41.7,3.55,19194
101.0,Zambia,ZMB,2011ZMB,5,14265.8,57.8,5.00,2.21,29.8,3.55,3147
133.0,Qatar,QAT,2011QAT,4,1804.2,78.9,6.59,39.45,20.3,3.55,111880
134.0,Chad,TCD,2011TCD,5,12317.7,50.0,4.39,1.90,18.4,3.55,1683
116.0,Afghanistan,AFG,2011AFG,6,29249.2,61.4,3.83,1.11,27.0,3.55,1961
135.0,Lesotho,LSO,2011LSO,5,2037.7,46.7,4.90,3.14,16.7,3.55,2404
138.0,Botswana,BWA,2011BWA,5,2134.0,60.5,3.52,14.72,12.5,3.55,13250
137.0,Central African Republic,CAF,2011CAF,5,4732.0,49.9,3.68,2.01,14.0,3.55,1160
