"","HPI","ISO","year"
"616",46.6,"ITA",2017
"617",49,"GBR",2017
"618",47.3,"ROU",2017
"619",48.8,"PHL",2017
"620",47.6,"ISR",2017
"621",39.4,"GRC",2017
"622",42.4,"SVN",2017
"623",41.5,"HRV",2017
"624",49.9,"THA",2017
"625",50.5,"TJK",2017
"626",45.5,"IRL",2017
"627",47.4,"DZA",2017
"628",45.8,"DOM",2017
"629",51.1,"PER",2017
"630",45.4,"CZE",2017
"631",44,"ALB",2017
"632",50.2,"BRA",2017
"633",44.8,"DEU",2017
"634",45.1,"VNM",2017
"635",45.1,"AUT",2017
"636",46,"MAR",2017
"637",51,"ECU",2017
"638",46.7,"JAM",2017
"639",44.8,"ARG",2017
"640",43,"NZL",2017
"641",49.6,"MEX",2017
"642",44.1,"UZB",2017
"643",38.2,"ARM",2017
"644",42.6,"HUN",2017
"645",54.2,"COL",2017
"646",41.8,"CHE",2017
"647",40.2,"JPN",2017
"648",0,"BTN",2017
"649",37.6,"CHN",2017
"650",40.8,"MKD",2017
"651",43.9,"KGZ",2017
"652",40.5,"TWN",2017
"653",39.4,"LTU",2017
"654",40.6,"SVK",2017
"655",42,"LKA",2017
"656",38.5,"ISL",2017
"657",41.4,"POL",2017
"658",40.9,"IDN",2017
"659",43.6,"MUS",2017
"660",41.6,"URY",2017
"661",36.1,"BHR",2017
"662",37,"BIH",2017
"663",38.7,"SEN",2017
"664",36,"AUS",2017
"665",39.6,"MLT",2017
"666",41.1,"BGD",2017
"667",0,"MYS",2017
"668",39.6,"LVA",2017
"669",41.4,"LBY",2017
"670",37.7,"BEL",2017
"671",40.6,"BLR",2017
"672",37.6,"TUN",2017
"673",34.2,"EST",2017
"674",35.9,"KOR",2017
"675",37.1,"BGR",2017
"676",39.8,"NPL",2017
"677",37.3,"CAN",2017
"678",35.8,"GEO",2017
"679",34.5,"CYP",2017
"680",32.6,"UKR",2017
"681",38.5,"KHM",2017
"682",36.8,"MNE",2017
"683",35.6,"COG",2017
"684",30.4,"SRB",2017
"685",31.7,"GAB",2017
"686",36.9,"AZE",2017
"687",34.7,"ETH",2017
"688",38.1,"PRY",2017
"689",42.4,"TUR",2017
"690",44.3,"PAK",2017
"691",30,"IRQ",2017
"692",34.7,"CMR",2017
"693",27.4,"MOZ",2017
"694",42.2,"GHA",2017
"695",41.1,"JOR",2017
"696",33.6,"VEN",2017
"697",34.9,"MRT",2017
"698",32.4,"CIV",2017
"699",32,"EGY",2017
"700",31.9,"USA",2017
"701",36.3,"BOL",2017
"702",31.5,"MMR",2017
"703",30.8,"GIN",2017
"704",28.5,"UGA",2017
"705",32,"KEN",2017
"706",33.3,"NER",2017
"707",28.9,"SGP",2017
"708",31.9,"LAO",2017
"709",32,"MDG",2017
"710",27.3,"KAZ",2017
"711",25.7,"ZAF",2017
"712",27.8,"SAU",2017
"713",30.5,"IRN",2017
"714",31.7,"BEN",2017
"715",29.4,"BFA",2017
"716",26,"TZA",2017
"717",31.6,"LBR",2017
"718",25.6,"RWA",2017
"719",34.9,"IND",2017
"720",30.7,"RUS",2017
"721",28.4,"HTI",2017
"722",25.5,"MWI",2017
"723",25.6,"YEM",2017
"724",27.9,"ARE",2017
"725",27.5,"TGO",2017
"726",25.3,"HKG",2017
"727",24.5,"TKM",2017
"728",29,"COD",2017
"729",25,"TTO",2017
"730",22.5,"LUX",2017
"731",26.1,"SLE",2017
"732",22.9,"KWT",2017
"733",26.8,"MLI",2017
"734",23.7,"NAM",2017
"735",26.6,"NGA",2017
"736",25.2,"MNG",2017
"737",24.8,"ZWE",2017
"738",46,"LBN",2017
"739",25.7,"ZMB",2017
"740",0,"QAT",2017
"741",18.7,"TCD",2017
"742",19.2,"AFG",2017
"743",16.2,"LSO",2017
"744",17.2,"BWA",2017
"745",15.9,"CAF",2017
"746",0,"BDI",2016
"747",0,"SDN",2016
"748",53,"VUT",2016
"749",54,"SWE",2016
"750",54,"SLV",2016
"751",63.8,"CRI",2016
"752",52.3,"NIC",2016
"753",48.6,"DNK",2016
"754",50.7,"ESP",2016
"755",50.2,"PAN",2016
"756",49.1,"FRA",2016
"757",53.2,"CHL",2016
"758",44.7,"PRT",2016
"759",49.9,"MDA",2016
"760",50.7,"HND",2016
"761",49.9,"NLD",2016
"762",48.9,"NOR",2016
"763",56,"GTM",2016
"764",45.2,"FIN",2016
"765",45.4,"ITA",2016
"766",47,"GBR",2016
"767",46.4,"ROU",2016
"768",47.7,"PHL",2016
"769",46.2,"ISR",2016
"770",41.1,"GRC",2016
"771",41.2,"SVN",2016
"772",42.7,"HRV",2016
"773",50.9,"THA",2016
"774",44.1,"TJK",2016
"775",44.8,"IRL",2016
"776",48.2,"DZA",2016
"777",42.8,"DOM",2016
"778",50.8,"PER",2016
"779",44.9,"CZE",2016
"780",43.9,"ALB",2016
"781",50.4,"BRA",2016
"782",43.5,"DEU",2016
"783",44.1,"VNM",2016
"784",44.2,"AUT",2016
"785",46.6,"MAR",2016
"786",52.8,"ECU",2016
"787",0,"JAM",2016
"788",46.9,"ARG",2016
"789",43,"NZL",2016
"790",52.4,"MEX",2016
"791",40.2,"UZB",2016
"792",38.6,"ARM",2016
"793",39.3,"HUN",2016
"794",53.7,"COL",2016
"795",42.1,"CHE",2016
