Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,35.9,38.3,36.1,40.9,39.0,39.1,40.4,38.5,39.0,38.5,37.4,36.3,37.9,36.4,33.3,32.1
Myanmar,0.0,0.0,0.0,,,,,,,,,,,,,
Guinea,0.0,0.0,0.0,,,,,,,,,,,,,
Uganda,19.9,25.6,26.7,27.7,25.2,30.7,27.7,24.2,25.2,29.4,29.9,28.5,31.5,36.6,34.2,30.7
Kenya,26.9,29.6,26.3,28.9,29.1,30.5,31.4,25.9,34.7,30.6,31.1,32.0,33.4,33.4,32.7,30.7
Niger,20.0,24.7,25.3,26.3,26.0,30.0,24.9,24.7,28.7,25.1,29.9,33.3,37.8,36.9,33.1,30.6
Singapore,19.1,26.5,25.1,25.4,26.4,27.4,26.4,26.9,29.2,28.4,27.6,28.9,28.7,28.7,30.2,30.5
Laos,36.2,38.8,36.7,,,35.3,36.8,,,,,31.9,29.4,31.8,33.5,30.2
Madagascar,28.1,31.0,33.8,,,33.1,26.4,28.9,28.1,27.4,28.7,32.0,31.9,34.8,32.2,29.8
Kazakhstan,23.8,24.6,26.5,25.2,27.0,29.3,28.0,27.7,28.0,26.5,25.6,27.3,28.2,29.9,29.6,29.4
South Africa,20.0,21.1,22.5,23.0,21.3,24.0,26.2,18.7,25.6,26.9,26.9,25.7,28.0,29.2,28.3,29.3
Saudi Arabia,0.0,34.2,31.0,27.4,27.2,29.9,27.5,28.0,26.2,25.6,28.4,27.8,28.6,29.5,29.6,29.3
Iran,0.0,34.3,32.8,,,30.7,30.1,33.5,30.4,30.9,30.9,30.5,27.5,31.3,30.7,29.0
Benin,19.1,20.4,21.7,,,23.4,19.0,21.2,20.4,22.6,25.3,31.7,39.0,33.1,28.7,28.9
Burkina Faso,18.9,20.8,20.5,21.7,22.7,28.5,23.2,18.9,20.4,27.4,26.4,29.4,31.8,30.3,29.4,28.8
Tanzania,22.9,26.2,27.1,20.8,20.5,27.5,27.8,27.3,25.3,27.3,22.1,26.0,27.2,29.1,29.9,28.8
Liberia,0.0,24.0,28.5,28.8,29.0,,,,31.3,16.9,23.1,31.6,29.6,37.6,33.3,28.6
Rwanda,28.5,30.3,32.1,30.1,30.9,31.8,26.2,27.6,29.2,28.4,27.4,25.6,29.7,27.3,28.8,28.1
India,42.9,40.4,41.5,36.5,40.6,38.0,38.9,37.0,37.3,37.0,35.8,34.9,33.0,28.4,36.0,27.8
