HPI,ISO,year
26.5,NGA,2018
19,MNG,2018
25.2,ZWE,2018
46.3,LBN,2018
26.7,ZMB,2018
0,QAT,2018
18.7,TCD,2018
19.3,AFG,2018
16,LSO,2018
16.3,BWA,2018
0,CAF,2018
0,BDI,2017
0,SDN,2017
53.8,VUT,2017
53.3,SWE,2017
56.3,SLV,2017
64.1,CRI,2017
56.7,NIC,2017
49.3,DNK,2017
49.2,ESP,2017
53.6,PAN,2017
49.7,FRA,2017
51.6,CHL,2017
45.8,PRT,2017
48.2,MDA,2017
53.9,HND,2017
49.6,NLD,2017
49.3,NOR,2017
55.6,GTM,2017
46.7,FIN,2017
46.6,ITA,2017
49,GBR,2017
47.3,ROU,2017
48.8,PHL,2017
47.6,ISR,2017
39.4,GRC,2017
42.4,SVN,2017
41.5,HRV,2017
49.9,THA,2017
50.5,TJK,2017
45.5,IRL,2017
47.4,DZA,2017
45.8,DOM,2017
51.1,PER,2017
45.4,CZE,2017
44,ALB,2017
50.2,BRA,2017
44.8,DEU,2017
45.1,VNM,2017
45.1,AUT,2017
46,MAR,2017
51,ECU,2017
46.7,JAM,2017
44.8,ARG,2017
43,NZL,2017
49.6,MEX,2017
44.1,UZB,2017
38.2,ARM,2017
42.6,HUN,2017
54.2,COL,2017
41.8,CHE,2017
40.2,JPN,2017
0,BTN,2017
37.6,CHN,2017
40.8,MKD,2017
43.9,KGZ,2017
40.5,TWN,2017
39.4,LTU,2017
40.6,SVK,2017
42,LKA,2017
38.5,ISL,2017
41.4,POL,2017
40.9,IDN,2017
43.6,MUS,2017
41.6,URY,2017
36.1,BHR,2017
37,BIH,2017
38.7,SEN,2017
36,AUS,2017
39.6,MLT,2017
41.1,BGD,2017
0,MYS,2017
39.6,LVA,2017
41.4,LBY,2017
37.7,BEL,2017
40.6,BLR,2017
37.6,TUN,2017
34.2,EST,2017
35.9,KOR,2017
37.1,BGR,2017
39.8,NPL,2017
37.3,CAN,2017
35.8,GEO,2017
34.5,CYP,2017
32.6,UKR,2017
38.5,KHM,2017
36.8,MNE,2017
35.6,COG,2017
30.4,SRB,2017
